key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
XNWVCYW,1910-05-17,0,Carolina Association,regular,,Anderson,2,,Charlotte,3,,1200,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 18, 1910",0,2,0,0,0,0,0,0,0,,,,,,0,0,0,0,1,1,0,0,1,,,,,
LYTVDXL,1910-05-17,0,Carolina Association,regular,,Greensboro,3,,Spartanburg,4,,,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 18, 1910",3,0,0,0,0,0,0,0,0,,,,,,0,2,0,0,0,2,0,0,x,,,,,
WLGWXJQ,1910-05-17,0,Carolina Association,regular,,Greenville,4,,Winston-Salem,3,,,1:55,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 18, 1910",1,0,0,0,2,0,0,1,0,,,,,,3,0,0,0,0,0,0,0,0,,,,,
MSNHBKT,1910-05-18,0,Carolina Association,regular,,Anderson,1,,Charlotte,3,,1350,1:23,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 19, 1910",1,0,0,0,0,0,0,0,0,,,,,,0,2,1,0,0,0,0,0,x,,,,,
WKRQZYZ,1910-05-18,0,Carolina Association,regular,,Greensboro,2,,Spartanburg,3,,,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 19, 1910",0,0,1,0,0,0,1,0,0,,,,,,0,0,0,1,0,1,1,0,x,,,,,
NNQDFNN,1910-05-18,0,Carolina Association,regular,,Greenville,2,,Winston-Salem,0,,600,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 18, 1910",0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,,
JSNLTYM,1910-05-19,0,Carolina Association,regular,,Greensboro,2,,Anderson,0,,,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 20, 1910",0,0,0,1,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
WLDFYKP,1910-05-19,0,Carolina Association,regular,,Greenville,2,,Charlotte,3,,1100,1:35,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 20, 1910",1,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1,2,0,x,,,,,
XYYPRYN,1910-05-19,0,Carolina Association,regular,,Winston-Salem,3,,Spartanburg,5,,600,2:15,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 20, 1910",1,1,0,0,0,0,0,0,1,,,,,,2,0,0,0,2,0,1,0,x,,,,,
MTFJTNX,1910-05-20,0,Carolina Association,regular,,Greensboro,0,,Anderson,2,,,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 21, 1910",0,0,0,0,0,0,0,0,0,,,,,,0,0,1,1,0,0,0,0,x,,,,,
NCQGKSB,1910-05-20,0,Carolina Association,regular,,Greenville,0,,Charlotte,6,,3500,1:35,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 21, 1910",0,0,0,0,0,0,0,0,0,,,,,,3,1,0,0,0,0,2,0,x,,,,,
WWNNPSY,1910-05-20,0,Carolina Association,regular,,Winston-Salem,1,,Spartanburg,2,,,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 21, 1910",0,0,0,0,0,1,0,0,0,,,,,,0,0,0,0,2,0,0,0,x,,,,,
TPCRLDV,1910-05-21,0,Carolina Association,regular,,Greensboro,1,,Anderson,0,,,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 22, 1910",1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
SVSYSWJ,1910-05-21,0,Carolina Association,regular,,Greenville,1,,Charlotte,0,,1800,1:12,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 22, 1910",0,0,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
FTGJGRQ,1910-05-21,0,Carolina Association,regular,,Winston-Salem,6,,Spartanburg,2,,1000,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 22, 1910",0,0,0,0,2,1,2,1,0,,,,,,0,1,1,0,0,0,0,0,0,,,,,
FKLVYGS,1910-05-23,0,Carolina Association,regular,,Winston-Salem,8,,Anderson,3,,,2:15,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 24, 1910",1,0,4,0,0,0,2,0,0,,,,,,0,1,0,0,0,2,0,0,0,,,,,
MFMXPKT,1910-05-23,0,Carolina Association,regular,,Charlotte,4,,Greensboro,0,,800,1:47,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 24, 1910",0,0,3,0,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
MNBFVPK,1910-05-23,0,Carolina Association,regular,,Spartanburg,1,,Greenville,8,,900,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 24, 1910",0,0,0,0,0,0,0,0,1,,,,,,0,0,1,0,4,0,3,0,0,,,,,
SHGWSJT,1910-05-24,0,Carolina Association,regular,,Winston-Salem,4,,Anderson,2,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,Winston-Salem Journal May 25. 1910,0,0,0,0,0,0,0,4,0,,,,,,0,1,0,0,0,0,1,0,0,,,,,
YXYHKKJ,1910-05-24,0,Carolina Association,regular,,Charlotte,,,Greensboro,,,,,,postponed,rain,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 25, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
XHMBHCW,1910-05-24,0,Carolina Association,regular,,Spartanburg,1,,Greenville,3,,300,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100519.txt,"Winston-Salem Journal May 25, 1910",0,0,0,0,0,1,0,0,0,,,,,,0,1,0,0,2,0,0,0,x,,,,,
NXNJGGH,1910-05-25,0,Carolina Association,regular,,Winston-Salem,2,,Anderson,3,,,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 26, 1910",0,0,0,1,0,1,0,0,,,,,,,1,0,0,2,0,0,0,0,,,,,,
XHJKRSW,1910-05-25,1,Carolina Association,regular,,Charlotte,0,,Greensboro,1,,800,1:32,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 26, 1910",0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,1,,,,,
PDQVRDH,1910-05-25,2,Carolina Association,regular,,Charlotte,6,,Greensboro,1,,1000,1:25,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 26, 1910",1,1,0,0,3,0,0,0,1,,,,,,1,0,0,0,0,0,0,0,0,,,,,
GBKSWRZ,1910-05-25,0,Carolina Association,regular,,Spartanburg,2,,Greenville,10,,1000,2:10,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 26, 1910",0,1,1,0,0,0,0,0,0,,,,,,1,0,3,0,0,2,4,0,x,,,,,
BLDBJKP,1910-05-26,0,Carolina Association,regular,,Anderson,3,,Greenville,1,,500,1:55,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 27, 1910",0,0,1,0,0,0,2,0,0,,,,,,0,0,0,0,0,1,0,0,0,,,,,
LDXQGFT,1910-05-26,0,Carolina Association,regular,,Charlotte,2,,Spartanburg,1,,,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 27, 1910",1,0,0,0,0,0,1,0,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,
VPPFCLH,1910-05-26,0,Carolina Association,regular,,Greensboro,3,,Winston-Salem,8,,800,1:35,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 27, 1910",0,0,3,0,0,0,0,0,0,,,,,,4,0,1,2,0,0,1,0,x,,,,,
XRTKBPR,1910-05-27,0,Carolina Association,regular,,Anderson,2,,Greenville,3,,600,2:20,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 28, 1910",0,0,0,1,0,0,0,1,0,,,,,,0,0,0,0,0,1,0,0,2,,,,,
XSQYKXG,1910-05-27,0,Carolina Association,regular,,Charlotte,7,,Spartanburg,6,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 28, 1910",3,0,2,0,0,2,0,0,0,,,,,,0,0,5,0,1,0,0,0,0,,,,,
QGXYJML,1910-05-27,0,Carolina Association,regular,,Greensboro,0,,Winston-Salem,2,,800,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 28, 1910",0,0,0,0,0,0,0,0,0,,,,,,2,0,0,0,0,0,0,0,x,,,,,
JFJQMJM,1910-05-28,0,Carolina Association,regular,,Anderson,8,,Greenville,8,,1000,3:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 29, 1910",2,0,0,0,0,0,5,0,0,0,1,0,,,1,0,0,0,0,0,1,0,5,0,1,0,,
GDJPWSK,1910-05-28,0,Carolina Association,regular,,Charlotte,6,,Spartanburg,5,,,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 29, 1910",0,0,0,1,2,0,2,0,1,,,,,,1,1,0,0,0,0,0,2,1,,,,,
YPBGRZL,1910-05-28,0,Carolina Association,regular,,Greensboro,1,,Winston-Salem,2,,1200,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 29, 1910",0,0,1,0,0,0,0,0,0,,,,,,0,0,0,1,0,1,0,0,x,,,,,
HXHGBHG,1910-05-30,0,Carolina Association,regular,,Spartanburg,3,,Anderson,14,,,1:55,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 31, 1910",2,0,0,0,1,0,0,0,0,,,,,,1,6,0,3,0,3,1,0,x,,,,,
QWTSBYH,1910-05-30,0,Carolina Association,regular,,Winston-Salem,12,,Charlotte,3,,1000,2:25,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 31, 1910",1,3,4,3,0,0,0,0,1,,,,,,0,0,1,0,0,0,1,0,1,,,,,
YLVYSZB,1910-05-30,0,Carolina Association,regular,,Greenville,0,,Greensboro,6,,600,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal May 31, 1910",0,0,0,0,0,0,0,0,0,,,,,,0,2,0,0,0,0,1,3,x,,,,,
RHTHJHM,1910-05-31,0,Carolina Association,regular,,Spartanburg,3,,Anderson,5,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 1, 1910",0,2,0,0,0,0,0,1,0,,,,,,0,0,3,0,1,0,1,0,x,,,,,
STGMWXD,1910-05-31,0,Carolina Association,regular,,Winston-Salem,2,,Charlotte,5,,800,1:55,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 1, 1910",1,1,0,0,0,0,0,0,0,,,,,,0,1,0,2,0,0,1,1,x,,,,,
VRHKXHX,1910-05-31,0,Carolina Association,regular,,Greenville,2,,Greensboro,0,,600,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 1, 1910",0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
JQSJPWF,1910-06-01,0,Carolina Association,regular,,Spartanburg,2,,Anderson,6,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 2, 1910",0,0,0,0,0,2,0,0,0,,,,,,0,3,1,0,0,1,1,0,x,,,,,
WGVXKWD,1910-06-01,0,Carolina Association,regular,,Winston-Salem,3,,Charlotte,2,,,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 2, 1910",0,0,2,0,0,0,0,1,0,,,,,,0,0,0,0,1,0,1,0,0,,,,,
QLHBTKT,1910-06-01,0,Carolina Association,regular,,Greenville,4,,Greensboro,2,,400,1:57,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100526.txt,"Winston-Salem Journal Jun 2, 1910",1,0,1,0,0,2,0,0,0,,,,,,0,1,0,1,0,0,0,0,0,,,,,
QLCSYWX,1910-06-03,0,Carolina Association,regular,,Greenville,1,,Anderson,5,,,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 4, 1910",0,0,0,0,0,0,1,0,0,,,,,,0,0,2,0,0,0,3,0,x,,,,,
PJVWBLN,1910-06-03,0,Carolina Association,regular,,Spartanburg,2,,Charlotte,3,,800,2:00,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 4, 1910",0,0,1,0,0,0,0,1,0,0,,,,,0,0,0,0,0,0,0,0,2,1,,,,
JZCHHJQ,1910-06-03,0,Carolina Association,regular,,Winston-Salem,6,,Greensboro,2,,600,2:05,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 4, 1910",2,1,1,0,0,2,0,0,0,,,,,,0,0,0,0,0,0,2,0,0,,,,,
JDRBKQP,1910-06-04,0,Carolina Association,regular,,Greenville,3,,Anderson,0,,,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 5, 1910",0,0,0,0,0,0,2,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,,
ZGRLQDG,1910-06-04,0,Carolina Association,regular,,Spartanburg,2,,Charlotte,7,,1200,2:15,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 5, 1910",0,2,0,0,0,0,0,0,0,,,,,,3,0,0,1,1,0,0,2,x,,,,,
HHSKNGV,1910-06-04,0,Carolina Association,regular,,Winston-Salem,4,,Greensboro,6,,750,2:17,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 5, 1910",1,0,0,0,0,1,1,0,1,,,,,,0,1,0,0,2,0,0,3,x,,,,,
KYFTGVL,1910-06-06,0,Carolina Association,regular,,Greensboro,7,,Greenville,2,,750,1:55,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 7, 1910",0,0,5,0,0,2,0,0,0,,,,,,0,0,0,2,0,0,0,0,0,,,,,
HTYJCNX,1910-06-06,0,Carolina Association,regular,,Anderson,3,,Spartanburg,2,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 7, 1910",0,1,0,0,0,0,0,2,0,,,,,,0,0,0,1,0,1,0,0,0,,,,,
MTKPQKK,1910-06-06,0,Carolina Association,regular,,Charlotte,4,,Winston-Salem,3,,800,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 7, 1910",3,0,0,0,0,0,1,0,0,,,,,,1,0,0,0,0,1,0,1,0,,,,,
FFLHDFT,1910-06-08,1,Carolina Association,regular,,Greensboro,4,,Charlotte,5,,1000,2:25,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 9, 1910",0,1,0,1,2,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,1,1,0,0,1,,
DNJGNSC,1910-06-08,2,Carolina Association,regular,,Greensboro,0,,Charlotte,3,,1000,1:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 9, 1910",0,0,0,0,0,0,0,,,,,,,,0,1,1,1,0,0,x,,,,,,,
MPBHXWH,1910-06-08,1,Carolina Association,regular,,Greenville,5,,Spartanburg,4,,700,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 9, 1910",0,0,1,0,4,0,0,0,0,,,,,,0,0,0,4,0,0,0,0,0,,,,,
WFSMBSL,1910-06-08,2,Carolina Association,regular,,Greenville,8,,Spartanburg,4,,700,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 9, 1910",0,0,0,3,0,0,1,0,4,,,,,,2,0,0,0,0,0,2,0,0,,,,,
VGPSKBG,1910-06-08,1,Carolina Association,regular,,Anderson,5,,Winston-Salem,3,,,2:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 9, 1910",0,0,0,0,0,0,1,2,0,2,,,,,1,0,0,0,0,0,0,0,2,0,,,,
LXRWHJT,1910-06-08,2,Carolina Association,regular,,Anderson,0,,Winston-Salem,2,,,1:10,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100602.txt,"Winston-Salem Journal Jun 8, 1910",0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,1,x,,,,,,,
KGKDBQL,1910-06-09,0,Carolina Association,regular,,Greensboro,9,,Charlotte,1,,600,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 10, 1910",2,0,1,0,1,2,0,0,3,,,,,,0,0,1,0,0,0,0,0,0,,,,,
QPMJFYJ,1910-06-09,0,Carolina Association,regular,,Greenville,3,,Spartanburg,5,,400,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 10, 1910",1,0,0,0,1,0,1,0,0,,,,,,0,0,0,1,4,0,0,0,x,,,,,
TKYKMQN,1910-06-09,0,Carolina Association,regular,,Anderson,5,,Winston-Salem,14,,350,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 10, 1910",0,1,0,0,1,0,0,2,1,,,,,,9,5,0,0,0,0,0,0,x,,,,,
DSHXVMW,1910-06-10,0,Carolina Association,regular,,Charlotte,3,,Anderson,1,,,2:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 11, 1910",0,0,0,0,0,0,1,1,1,,,,,,0,0,0,0,0,0,0,1,0,,,,,
VZVRWSQ,1910-06-10,0,Carolina Association,regular,,Spartanburg,,,Greensboro,,,,,,postponed,rain,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 11, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNJFSJK,1910-06-10,0,Carolina Association,regular,,Winston-Salem,2,,Greenville,1,,500,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 11, 1910",2,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,
PYNXWZN,1910-06-11,0,Carolina Association,regular,,Charlotte,2,,Anderson,3,,,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 12, 1910",0,0,1,0,0,1,0,0,0,,,,,,0,0,2,1,0,0,0,0,x,,,,,
NZHQLSG,1910-06-11,1,Carolina Association,regular,,Spartanburg,2,,Greensboro,0,,1200,1:25,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 12, 1910",0,0,0,0,1,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
SHHMFFK,1910-06-11,2,Carolina Association,regular,,Spartanburg,0,,Greensboro,3,,1500,1:45,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 12, 1910",0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,2,x,,,,,,
DYWDTTD,1910-06-11,0,Carolina Association,regular,,Winston-Salem,1,,Greenville,5,,600,1:35,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 12, 1910",0,1,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,2,1,x,,,,,
WZRJTZC,1910-06-14,0,Carolina Association,regular,,Anderson,0,,Greensboro,3,,300,1:52,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 15, 1910",0,0,0,0,0,0,0,0,0,,,,,,0,0,2,0,0,0,0,1,x,,,,,
WJRTXQF,1910-06-14,0,Carolina Association,regular,,Charlotte,0,,Greenville,3,,800,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 15, 1910",0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,2,x,,,,,
RBHLWTF,1910-06-14,0,Carolina Association,regular,,Spartanburg,,,Winston-Salem,,,,,,postponed,wet grounds,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 15, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSYQY,1910-06-15,1,Carolina Association,regular,,Anderson,1,,Greensboro,2,,,2:10,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 16, 1910",0,0,0,0,0,1,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,1,,,,
PDWJRDW,1910-06-15,2,Carolina Association,regular,,Anderson,0,,Greensboro,0,,500,1:05,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 16, 1910",0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,
DHZJRDX,1910-06-15,0,Carolina Association,regular,,Charlotte,,,Greenville,,,,,,postponed,rain,,transcript/1910/1910-WSJ/boxes/WSJ-19100609.txt,"Winston-Salem Journal Jun 16, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
