key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
JBYXKCN,1909-04-16,0,Southern Association,regular,,Little Rock,3,,Memphis,10,,,1:45,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,1,0,1,,,,,,,,,,,0,0,0,1,0,4,4,1,x,,,,,,,,,,
BMJNDDL,1909-04-16,0,Southern Association,regular,,Montgomery,2,,Nashville,5,,,1:55,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",1,0,0,0,0,0,0,1,0,,,,,,,,,,,0,1,1,2,0,0,1,0,x,,,,,,,,,,
JNCSCZZ,1909-04-16,0,Southern Association,regular,,Mobile,1,,New Orleans,4,,,2:00,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,2,1,0,0,0,0,1,x,,,,,,,,,,
ZMJGQCN,1909-04-17,0,Arkansas State,regular,,Monroe,12,,Alexandria,13,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,3,0,0,4,3,4,2,,,,,,,,,,,4,0,1,1,1,0,0,0,6,,,,,,,,,,
SBNGXXK,1909-04-17,0,Arkansas State,regular,,Helena,1,,Argenta,2,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,1,0,0,0,1,0,x,,,,,,,,,,
VGRYLST,1909-04-17,0,Arkansas State,regular,,Jonesboro,3,,Hot Springs,0,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",1,0,2,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
BHTHDSG,1909-04-17,0,Arkansas State,regular,,Fort Smith,5,,Texarkana,4,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",1,0,0,0,1,0,3,0,0,,,,,,,,,,,0,0,2,0,1,0,0,1,0,,,,,,,,,,
LVBTCXH,1909-04-17,0,Southern Association,regular,,Birmingham,1,,Atlanta,7,,,,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,1,0,0,0,0,0,0,,,,,,,,,,,3,0,0,4,0,0,0,0,x,,,,,,,,,,
RSPLNTR,1909-04-17,0,Southern Association,regular,,Little Rock,8,,Memphis,3,,,2:00,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",3,0,0,0,0,0,2,1,2,,,,,,,,,,,0,0,0,0,0,0,0,3,0,,,,,,,,,,
QQSTWRS,1909-04-17,0,Southern Association,regular,,Montgomery,9,,Nashville,7,,,2:00,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,2,0,1,0,5,0,1,0,,,,,,,,,,,0,0,1,5,0,1,0,0,0,,,,,,,,,,
XXDXKBN,1909-04-17,0,Southern Association,regular,,Mobile,0,,New Orleans,1,,,1:40,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,x,,,,,,,,,,
SNTPCQF,1909-04-18,0,Arkansas State,regular,,Monroe,1,,Alexandria,11,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,0,1,0,0,8,0,1,x,,,,,,,,,,
GKNTHRY,1909-04-18,0,Arkansas State,regular,,Jonesboro,1,,Hot Springs,3,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,0,0,0,2,x,,,,,,,,,,
JSHYPYT,1909-04-18,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,1,,,,,final,,,1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,0,0,0,0,2,0,0,2,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,
FTCZZPJ,1909-04-18,0,Southern Association,regular,,Little Rock,5,,Memphis,1,,,1:35,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,1,2,0,0,0,2,0,0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,
GFHTNNY,1909-04-18,0,Southern Association,regular,,Mobile,5,,New Orleans,1,,,2:11,,final,,,1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,2,2,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,
XQCMJRT,1909-04-19,0,Arkansas State,regular,,Hot Springs,0,,Argenta,1,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,0,0,x,,,,,,,,,,
HGVFVHH,1909-04-19,0,Arkansas State,regular,,Helena,5,,Fort Smith,4,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,2,1,0,1,1,0,,,,,,,,,,,0,0,0,0,2,1,1,0,0,,,,,,,,,,
MQGWPKV,1909-04-19,0,Arkansas State,regular,,Alexandria,0,,Monroe,5,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,4,0,0,0,0,1,x,,,,,,,,,,
KTRGGSN,1909-04-19,0,Arkansas State,regular,,Jonesboro,4,,Texarkana,0,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,2,0,1,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
FJHWQSW,1909-04-19,0,Southern Association,regular,,Little Rock,2,,Mobile,5,,,2:00,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,2,0,0,,,,,,,,,,,2,0,0,0,0,0,3,0,x,,,,,,,,,,
MJNXVJK,1909-04-19,0,Southern Association,regular,,Birmingham,5,,Montgomery,8,,,2:15,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,2,0,2,0,1,0,,,,,,,,,,,0,0,0,0,0,0,0,8,x,,,,,,,,,,
SHDWCQJ,1909-04-19,0,Southern Association,regular,,Atlanta,4,,Nashville,3,,,1:43,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",1,3,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,1,,,,,,,,,,
RYSMGZN,1909-04-19,0,Southern Association,regular,,Memphis,3,,New Orleans,4,,,1:55,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",1,0,0,0,1,0,0,1,0,,,,,,,,,,,0,0,1,0,3,0,0,0,x,,,,,,,,,,
SZNPKLT,1909-04-20,0,Arkansas State,regular,,Hot Springs,3,,Argenta,4,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,0,1,0,2,,,,,,,,,,,1,0,0,1,0,1,0,1,x,,,,,,,,,,
JMCBHFF,1909-04-20,0,Arkansas State,regular,,Helena,,,Fort Smith,,,,,,postponed,rain,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPFHYX,1909-04-20,0,Arkansas State,regular,,Alexandria,3,,Monroe,4,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,0,0,1,0,0,0,0,2,0,0,1,,,,,,,,
CCBBWPK,1909-04-20,0,Arkansas State,regular,,Jonesboro,7,,Texarkana,1,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,1,0,4,1,1,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,
NTCXMYH,1909-04-20,0,Southern Association,regular,,Little Rock,2,,Mobile,3,,,1:50,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,2,0,0,0,0,0,,,,,,,,,,,2,0,0,0,0,0,1,0,x,,,,,,,,,,
TDGTNMP,1909-04-20,0,Southern Association,regular,,Birmingham,3,,Montgomery,9,,,2:00,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,2,1,0,0,,,,,,,,,,,0,0,0,0,0,6,3,0,x,,,,,,,,,,
JVFPSPD,1909-04-20,0,Southern Association,regular,,Atlanta,,,Nashville,,,,,,postponed,rain,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJNNTWK,1909-04-20,0,Southern Association,regular,,Memphis,1,,New Orleans,3,,,2:02,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,0,0,3,0,0,0,x,,,,,,,,,,
PVGQNPQ,1909-04-21,0,Arkansas State,regular,,Hot Springs,1,,Argenta,13,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,2,0,0,3,4,4,x,,,,,,,,,,
ZTHTPZS,1909-04-21,0,Arkansas State,regular,,Helena,,,Fort Smith,,,,,,postponed,rain,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBCJHJW,1909-04-21,0,Arkansas State,regular,,Alexandria,2,,Monroe,7,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",1,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,6,1,0,0,0,0,x,,,,,,,,,,
RWYFYNC,1909-04-21,0,Arkansas State,regular,,Jonesboro,7,,Texarkana,2,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,4,1,0,0,2,0,0,0,,,,,,,,,,,0,0,0,0,0,1,0,1,0,,,,,,,,,,
BWHNYDQ,1909-04-21,0,Southern Association,regular,,Little Rock,5,,Mobile,6,,,1:45,,final,,2,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",1,0,0,1,0,0,3,0,0,,,,,,,,,,,0,4,0,0,0,0,0,0,2,,,,,,,,,,
YPCZFMG,1909-04-21,0,Southern Association,regular,,Birmingham,5,,Montgomery,3,,,1:50,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,1,0,0,0,0,2,2,,,,,,,,,,1,0,1,0,0,0,0,1,0,0,,,,,,,,,
ZQNJTYZ,1909-04-21,1,Southern Association,regular,,Atlanta,5,,Nashville,6,,,1:45,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,4,0,0,0,0,1,,,,,,,,,,,1,0,0,0,2,0,2,1,x,,,,,,,,,,
HNTJBTT,1909-04-21,2,Southern Association,regular,,Atlanta,0,,Nashville,2,,,1:30,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,1,0,x,,,,,,,,,,
JNPRPYY,1909-04-21,0,Southern Association,regular,,Memphis,0,,New Orleans,4,,,1:35,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,3,0,0,0,0,1,x,,,,,,,,,,
MGVTLZY,1909-04-22,0,Arkansas State,regular,,Monroe,0,,Argenta,3,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,0,2,x,,,,,,,,,,
GXDVBZY,1909-04-22,0,Arkansas State,regular,,Jonesboro,2,,Fort Smith,0,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,0,0,0,0,2,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
JVZGWRM,1909-04-22,0,Southern Association,regular,,Little Rock,4,,Mobile,0,,,1:37,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",2,0,0,0,1,0,0,1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
SHFFMGC,1909-04-22,0,Southern Association,regular,,Birmingham,4,,Montgomery,1,,,2:00,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,1,0,0,1,0,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,,
QRYWNFD,1909-04-22,0,Southern Association,regular,,Atlanta,11,,Nashville,7,,,2:00,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,1,3,3,3,0,1,0,,,,,,,,,,,1,1,0,2,0,1,0,2,0,,,,,,,,,,
FYNBGDJ,1909-04-22,0,Southern Association,regular,,Memphis,2,,New Orleans,3,,,1:56,,final,,0,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",1,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,1,0,0,0,1,1,,,,,,,,,,
LZZHVCF,1909-04-23,0,Arkansas State,regular,,Monroe,1,,Argenta,3,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,1,0,2,0,0,0,x,,,,,,,,,,
GGVTTWH,1909-04-23,0,Arkansas State,regular,,Jonesboro,2,,Fort Smith,4,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,1,0,0,0,0,1,0,,,,,,,,,,,1,0,3,0,0,0,0,0,x,,,,,,,,,,
FNRLNLZ,1909-04-23,0,Arkansas State,regular,,Alexandria,9,,Hot Springs,10,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,4,0,1,0,2,2,,,,,,,,,,,1,0,6,0,1,0,1,1,0,,,,,,,,,,
CGTWFDL,1909-04-23,0,Arkansas State,regular,,Helena,1,,Texarkana,6,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,0,0,0,0,0,0,4,x,,,,,,,,,,
WHPJCBV,1909-04-23,0,Southern Association,regular,,Montgomery,4,,Atlanta,7,,,1:50,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,4,0,0,0,0,0,0,,,,,,,,,,,4,2,1,0,0,0,0,0,0,,,,,,,,,,
CNRNLZK,1909-04-23,0,Southern Association,regular,,Nashville,2,,Birmingham,1,,,1:50,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,2,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,
PXYCNQS,1909-04-23,0,Southern Association,regular,,Memphis,0,,Mobile,1,,,1:42,,final,,2,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
JLDLDWH,1909-04-23,0,Southern Association,regular,,Little Rock,0,,New Orleans,3,,,1:30,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,0,0,0,0,0,0,0,x,,,,,,,,,,
HSKPXKH,1909-04-24,0,Arkansas State,regular,,Monroe,4,,Argenta,7,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",1,0,0,0,0,3,0,0,0,,,,,,,,,,,1,0,1,1,0,0,4,0,x,,,,,,,,,,
BBVYXBT,1909-04-24,0,Arkansas State,regular,,Jonesboro,3,,Fort Smith,1,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,0,0,1,0,0,0,0,2,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,
PLXDZWJ,1909-04-24,0,Arkansas State,regular,,Alexandria,7,,Hot Springs,11,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,1,2,0,0,0,0,1,1,,,,,,,,,,,0,4,0,0,1,0,2,4,x,,,,,,,,,,
GXRRTLT,1909-04-24,0,Arkansas State,regular,,Helena,8,,Texarkana,4,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,2,0,0,1,2,0,1,,,,,,,,,,,2,0,1,0,0,0,1,0,0,,,,,,,,,,
XVLHFJD,1909-04-24,0,Southern Association,regular,,Montgomery,3,,Atlanta,2,,,1:50,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,0,1,0,0,0,0,1,,,,,,,,,,
QLBCYQG,1909-04-24,0,Southern Association,regular,,Nashville,4,,Birmingham,3,,,2:00,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,0,0,1,0,1,0,0,,,,,,,,,,,1,0,0,0,1,0,0,1,0,,,,,,,,,,
CCHHWFK,1909-04-24,0,Southern Association,regular,,Memphis,,,Mobile,,,,,,postponed,rain,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJGNGHL,1909-04-24,0,Southern Association,regular,,Little Rock,4,,New Orleans,2,,,1:48,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,3,1,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,2,0,0,,,,,,,,,,
RGTTYGS,1909-04-25,0,Arkansas State,regular,,Alexandria,3,,Hot Springs,4,,,,,final,,2,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,0,2,0,0,0,0,0,0,0,0,2,,,,,,,,
DTCLRDR,1909-04-25,0,Arkansas State,regular,,Helena,3,,Texarkana,9,,,,,final,,,1909/1909-MCA/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,0,0,0,0,2,0,1,,,,,,,,,,,6,0,0,0,1,1,1,0,x,,,,,,,,,,
GHZXBGM,1909-04-25,0,Southern Association,regular,,Nashville,,,Memphis,,,,,,postponed,travel delay for Memphis club,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMWGPCM,1909-04-25,0,Southern Association,regular,,Little Rock,3,,New Orleans,2,,,1:40,,final,,,1909/1909-MCA/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,1,0,0,0,1,1,0,,,,,,,,,,,0,0,0,0,0,0,2,0,0,,,,,,,,,,
BBWWZMW,1909-04-26,0,Arkansas State,regular,,Jonesboro,4,,Argenta,0,,,,,final,,,1909/1909-MCA/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,3,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
DGMHFRN,1909-04-26,0,Arkansas State,regular,,Monroe,1,,Fort Smith,1,,,,,final,,,1909/1909-MCA/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,
NNQZPSM,1909-04-26,0,Arkansas State,regular,,Helena,5,,Hot Springs,3,,,,,final,,,1909/1909-MCA/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",1,0,2,0,0,0,2,0,0,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,
HFBJQVQ,1909-04-26,0,Arkansas State,regular,,Alexandria,,,Texarkana,,,,,,postponed,travel delay,,1909/1909-MCA/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLHLMH,1909-04-26,0,Southern Association,regular,,Montgomery,0,,Atlanta,5,,,1:30,,final,,,1909/1909-MCA/SOUA-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,1,0,3,0,0,0,x,,,,,,,,,,
MGQQSZR,1909-04-26,0,Southern Association,regular,,Nashville,5,,Birmingham,0,,,2:15,,final,,,1909/1909-MCA/SOUA-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,1,1,0,1,0,0,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
YWGZWZS,1909-04-26,1,Southern Association,regular,,Memphis,3,,Mobile,4,,,1:43,,final,,2,1909/1909-MCA/SOUA-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",1,0,0,0,1,0,1,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,3,,,,,,,,,,
DGBLKJB,1909-04-26,2,Southern Association,regular,,Memphis,1,,Mobile,1,,,,,final,,,1909/1909-MCA/SOUA-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
TPQLLDW,1909-04-26,0,Southern Association,regular,,Little Rock,4,,New Orleans,3,,,2:05,,final,,,1909/1909-MCA/SOUA-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,
