key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
9dd427a8-52fd-5e1e-a350-db738dfa7a7b,1909-04-17,0,Arkansas State,regular,,Fort Smith,5,,Texarkana,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",1,0,0,0,1,0,3,0,0,,,,,0,0,2,0,1,0,0,1,0,,,,
2962d20d-1233-59f2-af03-a7ea0e3c3ada,1909-04-17,0,Southern Association,regular,,Birmingham,1,,Atlanta,7,,,,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,1,0,0,0,0,0,0,,,,,3,0,0,4,0,0,0,0,x,,,,
75e2b94c-341d-5c24-a735-9f675ebb7451,1909-04-17,0,Southern Association,regular,,Little Rock,8,,Memphis,3,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",3,0,0,0,0,0,2,1,2,,,,,0,0,0,0,0,0,0,3,0,,,,
96ec80ca-db85-55d7-b229-fe87e16a57c0,1909-04-17,0,Southern Association,regular,,Montgomery,9,,Nashville,7,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,2,0,1,0,5,0,1,0,,,,,0,0,1,5,0,1,0,0,0,,,,
c841bfc2-fd51-5cad-a6bf-b1215052b8aa,1909-04-17,0,Southern Association,regular,,Mobile,0,,New Orleans,1,,,1:40,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,x,,,,
317b9b19-9805-57d0-8dc3-a7ff1e77a7c0,1909-04-18,0,Arkansas State,regular,,Monroe,1,,Alexandria,11,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,0,0,0,0,0,0,0,1,,,,,1,0,1,0,0,8,0,1,x,,,,
048ba8db-2978-5fc6-b5fe-63271e66b889,1909-04-18,0,Arkansas State,regular,,Jonesboro,1,,Hot Springs,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",1,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,2,x,,,,
49504865-e119-5e19-b98b-c4e2fdfdea6a,1909-04-18,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,0,0,0,0,2,0,0,2,,,,,0,0,0,0,1,0,0,0,0,,,,
28139b42-789e-5ad7-aba0-98392fa1c76e,1909-04-18,0,Southern Association,regular,,Little Rock,5,,Memphis,1,,,1:35,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,1,2,0,0,0,2,0,0,,,,,0,0,0,0,0,1,0,0,0,,,,
ebbaf791-22b3-58a1-b3b4-4400ec050f77,1909-04-18,0,Southern Association,regular,,Mobile,5,,New Orleans,1,,,2:11,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 19, 1909",0,2,2,0,0,1,0,0,0,,,,,0,0,0,0,0,0,0,1,0,,,,
c99f7016-9f30-5b65-8146-75ceec5f1249,1909-04-19,0,Arkansas State,regular,,Hot Springs,0,,Argenta,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,x,,,,
9ef8cb5e-e811-5891-96f6-005fb337b09f,1909-04-19,0,Arkansas State,regular,,Helena,5,,Fort Smith,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,2,1,0,1,1,0,,,,,0,0,0,0,2,1,1,0,0,,,,
0f706d8a-aa5a-514d-9b72-3e42d18085d4,1909-04-19,0,Arkansas State,regular,,Alexandria,0,,Monroe,5,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,0,0,0,,,,,0,0,4,0,0,0,0,1,x,,,,
b04bc443-1cc6-52ac-a686-9cc317f826c4,1909-04-19,0,Arkansas State,regular,,Jonesboro,4,,Texarkana,0,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,2,0,1,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
b42be302-a917-5630-805d-d9ab3584e977,1909-04-19,0,Southern Association,regular,,Little Rock,2,,Mobile,5,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,0,0,0,2,0,0,,,,,2,0,0,0,0,0,3,0,x,,,,
74f96025-af3d-5031-90e7-3203acd50800,1909-04-19,0,Southern Association,regular,,Birmingham,5,,Montgomery,8,,,2:15,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",0,0,0,2,0,2,0,1,0,,,,,0,0,0,0,0,0,0,8,x,,,,
ce83d817-faff-5824-8ffa-2c37baf05d83,1909-04-19,0,Southern Association,regular,,Atlanta,4,,Nashville,3,,,1:43,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",1,3,0,0,0,0,0,0,0,,,,,1,0,0,0,0,1,0,0,1,,,,
7fb9ecf0-c13b-5b92-8e70-17d138dbba13,1909-04-19,0,Southern Association,regular,,Memphis,3,,New Orleans,4,,,1:55,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 20, 1909",1,0,0,0,1,0,0,1,0,,,,,0,0,1,0,3,0,0,0,x,,,,
aed075cc-aecb-5b92-b291-b7236e909f7f,1909-04-20,0,Arkansas State,regular,,Hot Springs,3,,Argenta,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,0,1,0,2,,,,,1,0,0,1,0,1,0,1,x,,,,
d5913e2b-04ee-5a35-9762-e4ab90bd606b,1909-04-20,0,Arkansas State,regular,,Helena,,,Fort Smith,,,,,,postponed,rain,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
be97e8e5-c3f0-5f02-bfbb-5b9cc54ac495,1909-04-20,0,Arkansas State,regular,,Alexandria,3,,Monroe,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,3,0,0,0,0,0,,,0,0,1,0,0,0,0,2,0,0,1,,
9b624573-8641-544a-a60c-0c759f8cb34b,1909-04-20,0,Arkansas State,regular,,Jonesboro,7,,Texarkana,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,1,0,4,1,1,,,,,0,0,0,1,0,0,0,0,0,,,,
e692cb9a-660f-5d51-a67d-97c0ab24cbf1,1909-04-20,0,Southern Association,regular,,Little Rock,2,,Mobile,3,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,2,0,0,0,0,0,,,,,2,0,0,0,0,0,1,0,x,,,,
317aeea6-9338-5a55-9bc2-4c14c426b58f,1909-04-20,0,Southern Association,regular,,Birmingham,3,,Montgomery,9,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,2,1,0,0,,,,,0,0,0,0,0,6,3,0,x,,,,
3a9b3336-76e6-5236-b8ac-5c413405a419,1909-04-20,0,Southern Association,regular,,Atlanta,,,Nashville,,,,,,postponed,rain,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
9f0d68f3-e036-5681-ae5a-bddd9a3ab146,1909-04-20,0,Southern Association,regular,,Memphis,1,,New Orleans,3,,,2:02,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 21, 1909",0,0,0,0,0,0,1,0,0,,,,,0,0,0,0,3,0,0,0,x,,,,
c76cdebf-91f1-5b58-8108-17cb110b0310,1909-04-21,0,Arkansas State,regular,,Hot Springs,1,,Argenta,13,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,1,0,0,,,,,0,0,2,0,0,3,4,4,x,,,,
59c17ee5-5aab-5048-a259-89fd6735e2af,1909-04-21,0,Arkansas State,regular,,Helena,,,Fort Smith,,,,,,postponed,rain,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
8e5697f4-aec5-54cc-9c63-2177fd959aa2,1909-04-21,0,Arkansas State,regular,,Alexandria,2,,Monroe,7,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",1,0,0,0,0,1,0,0,0,,,,,0,0,6,1,0,0,0,0,x,,,,
97680a94-5b5d-58a3-a527-5534c955a183,1909-04-21,0,Arkansas State,regular,,Jonesboro,7,,Texarkana,2,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,4,1,0,0,2,0,0,0,,,,,0,0,0,0,0,1,0,1,0,,,,
97b99856-6573-5d6d-8ed4-e7676a659b85,1909-04-21,0,Southern Association,regular,,Little Rock,5,,Mobile,6,,,1:45,,,,2,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",1,0,0,1,0,0,3,0,0,,,,,0,4,0,0,0,0,0,0,2,,,,
7e353ebb-d15a-5a18-9936-c1b43f566601,1909-04-21,0,Southern Association,regular,,Birmingham,5,,Montgomery,3,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,1,0,0,0,0,2,2,,,,1,0,1,0,0,0,0,1,0,0,,,
71018f0e-2e45-5a8c-a00e-085673153441,1909-04-21,1,Southern Association,regular,,Atlanta,5,,Nashville,6,,,1:45,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,4,0,0,0,0,1,,,,,1,0,0,0,2,0,2,1,x,,,,
c3ac2278-9344-5b3a-a506-370ee1c9ae3f,1909-04-21,2,Southern Association,regular,,Atlanta,0,,Nashville,2,,,1:30,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,1,0,x,,,,
0f7b5897-c6f1-519b-a19a-85a497f0b15f,1909-04-21,0,Southern Association,regular,,Memphis,0,,New Orleans,4,,,1:35,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 22, 1909",0,0,0,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,1,x,,,,
986eda47-79df-5aa8-8671-10742f1cdd17,1909-04-22,0,Arkansas State,regular,,Monroe,0,,Argenta,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,2,x,,,,
2d419993-50f9-59d6-a327-9029ff73e3c2,1909-04-22,0,Arkansas State,regular,,Jonesboro,2,,Fort Smith,0,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,0,0,0,0,2,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
94401bd6-02f5-5793-a6f9-f88bbf2fb23f,1909-04-22,0,Southern Association,regular,,Little Rock,4,,Mobile,0,,,1:37,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",2,0,0,0,1,0,0,1,0,,,,,0,0,0,0,0,0,0,0,0,,,,
e962fd3e-d507-5dce-99ca-008511d5fbc1,1909-04-22,0,Southern Association,regular,,Birmingham,4,,Montgomery,1,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,1,0,0,1,0,1,1,,,,,0,0,0,0,0,0,0,0,1,,,,
8d5ad91f-7a53-5d7b-b46c-87f0a2b97709,1909-04-22,0,Southern Association,regular,,Atlanta,11,,Nashville,7,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",0,0,1,3,3,3,0,1,0,,,,,1,1,0,2,0,1,0,2,0,,,,
390edb82-6f87-51e4-8547-b97f6af92349,1909-04-22,0,Southern Association,regular,,Memphis,2,,New Orleans,3,,,1:56,,,,0,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 23, 1909",1,0,0,0,1,0,0,0,0,,,,,0,0,0,1,0,0,0,1,1,,,,
d096964e-cfe5-532f-bf32-62767436d947,1909-04-23,0,Arkansas State,regular,,Monroe,1,,Argenta,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",1,0,0,0,0,0,0,0,0,,,,,0,0,1,0,2,0,0,0,x,,,,
7ba9e9fa-a410-5d56-a78b-de186f277326,1909-04-23,0,Arkansas State,regular,,Jonesboro,2,,Fort Smith,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,1,0,0,0,0,1,0,,,,,1,0,3,0,0,0,0,0,x,,,,
3074fa11-99c3-587e-9743-a7f19d7838a3,1909-04-23,0,Arkansas State,regular,,Alexandria,9,,Hot Springs,10,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,4,0,1,0,2,2,,,,,1,0,6,0,1,0,1,1,0,,,,
b8324069-f76f-59a0-b8dd-84164c630dcc,1909-04-23,0,Arkansas State,regular,,Helena,1,,Texarkana,6,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,1,,,,,2,0,0,0,0,0,0,4,x,,,,
d50e4c21-3c3f-5af9-a662-16fc76478c9b,1909-04-23,0,Southern Association,regular,,Montgomery,4,,Atlanta,7,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,4,0,0,0,0,0,0,,,,,4,2,1,0,0,0,0,0,0,,,,
020068ee-4ba5-5f05-8716-748591ae3adf,1909-04-23,0,Southern Association,regular,,Nashville,2,,Birmingham,1,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,2,0,0,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,,,,
2ce781ed-d4d1-5585-95d3-45565e45244a,1909-04-23,0,Southern Association,regular,,Memphis,0,,Mobile,1,,,1:42,,,,2,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,1,,,
da8050eb-28b9-57f6-9cd8-f199f7f9835a,1909-04-23,0,Southern Association,regular,,Little Rock,0,,New Orleans,3,,,1:30,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 24, 1909",0,0,0,0,0,0,0,0,0,,,,,3,0,0,0,0,0,0,0,x,,,,
ba668dbd-01a7-52b9-be7a-b075449fea38,1909-04-24,0,Arkansas State,regular,,Monroe,4,,Argenta,7,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",1,0,0,0,0,3,0,0,0,,,,,1,0,1,1,0,0,4,0,x,,,,
8c234cb5-d85b-5f74-a344-2346247d45ca,1909-04-24,0,Arkansas State,regular,,Jonesboro,3,,Fort Smith,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,0,0,1,0,0,0,0,2,,,,,0,0,0,0,0,1,0,0,0,,,,
d73570e9-7b53-536a-84e1-84afec1d8db7,1909-04-24,0,Arkansas State,regular,,Alexandria,7,,Hot Springs,11,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,1,2,0,0,0,0,1,1,,,,,0,4,0,0,1,0,2,4,x,,,,
ca666a86-6527-5406-a4f8-c300a39b2fe4,1909-04-24,0,Arkansas State,regular,,Helena,8,,Texarkana,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,2,0,0,1,2,0,1,,,,,2,0,1,0,0,0,1,0,0,,,,
071c5334-6dc8-544c-95ea-b2c52c36b561,1909-04-24,0,Southern Association,regular,,Montgomery,3,,Atlanta,2,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,0,0,0,0,0,0,1,0,,,,,0,0,0,1,0,0,0,0,1,,,,
7f451ebd-6444-59ef-abde-ec969cc45a95,1909-04-24,0,Southern Association,regular,,Nashville,4,,Birmingham,3,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,0,0,1,0,1,0,0,,,,,1,0,0,0,1,0,0,1,0,,,,
91ceaced-7250-565d-a012-9db0cf2c5f61,1909-04-24,0,Southern Association,regular,,Memphis,,,Mobile,,,,,,postponed,rain,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
a9f980ec-6241-5cd4-9804-fc9d466a1ae6,1909-04-24,0,Southern Association,regular,,Little Rock,4,,New Orleans,2,,,1:48,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,3,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,2,0,0,,,,
b5e48543-3b9e-51f3-8c45-d83561abb61b,1909-04-25,0,Arkansas State,regular,,Alexandria,3,,Hot Springs,4,,,,,,,2,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",1,0,0,0,0,1,0,0,0,0,1,,,0,2,0,0,0,0,0,0,0,0,2,,
0a0d415a-f411-5f58-9f3d-a438906fcba9,1909-04-25,0,Arkansas State,regular,,Helena,3,,Texarkana,9,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,0,0,0,0,2,0,1,,,,,6,0,0,0,1,1,1,0,x,,,,
6eadf854-b849-5ad6-bd8b-5c2efbd3258f,1909-04-25,0,Southern Association,regular,,Nashville,,,Memphis,,,,,,postponed,travel delay for Memphis club,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
b502b480-06a8-56b0-8336-21322a1e085a,1909-04-25,0,Southern Association,regular,,Little Rock,3,,New Orleans,2,,,1:40,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,1,0,0,0,1,1,0,,,,,0,0,0,0,0,0,2,0,0,,,,
4500960d-bc96-5c05-88a0-93c4f3310ec2,1909-04-26,0,Arkansas State,regular,,Jonesboro,4,,Argenta,0,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,3,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,,,,
60f0af9e-71d9-519e-bf8f-026b7855eea7,1909-04-26,0,Arkansas State,regular,,Monroe,1,,Fort Smith,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,,
0f3b0013-e6db-5b59-ad63-81858239af07,1909-04-26,0,Arkansas State,regular,,Helena,5,,Hot Springs,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090426.txt,"(Memphis) Commercial Appeal, April 27, 1909",1,0,2,0,0,0,2,0,0,,,,,3,0,0,0,0,0,0,0,0,,,,
